## ENSEMBL VARIANT EFFECT PREDICTOR v115.2
## Output produced at 2025-10-17 10:15:07
## Using cache in /Volumes/Seagate8/.vep/homo_sapiens/115_GRCh38
## Using API version 115, DB version ?
## ensembl version 115.266b84d
## ensembl-compara version 115.ae48a7a
## ensembl-funcgen version 115.57f7061
## ensembl-io version 115.25061d3
## ensembl-variation version 115.b7c2637
## 1000genomes version phase3
## COSMIC version 101
## ClinVar version 202502
## HGMD-PUBLIC version 20204
## assembly version GRCh38.p14
## dbSNP version 156
## gencode version GENCODE 49
## genebuild version GENCODE49
## gnomADe version v4.1
## gnomADg version v4.1
## polyphen version 2.2.3
## regbuild version 1.0
## sift version 6.2.1
## Column descriptions:
## Uploaded_variation : Identifier of uploaded variant
## Location : Location of variant in standard coordinate format (chr:start or chr:start-end)
## Allele : The variant allele used to calculate the consequence
## Gene : Stable ID of affected gene
## Feature : Stable ID of feature
## SYMBOL : Gene symbol (e.g. HGNC)
## Consequence : Consequence type
## IMPACT : Subjective impact classification of consequence type
## BIOTYPE : Biotype of transcript or regulatory feature
## EXON : Exon number(s) / total
## INTRON : Intron number(s) / total
## HGVSc : HGVS coding sequence name
## HGVSp : HGVS protein sequence name
## cDNA_position : Relative position of base pair in cDNA sequence
## CDS_position : Relative position of base pair in coding sequence
## Protein_position : Relative position of amino acid in protein
## Amino_acids : Reference and variant amino acids
## Codons : Reference and variant codon sequence
## Existing_variation : Identifier(s) of co-located known variants
## AF : Frequency of existing variant in 1000 Genomes combined population
## gnomAD_AF : ?
## ClinSig : ?
## Phenotype : ?
## VEP command-line: vep --assembly GRCh38 --cache --database 0 --dir_cache [PATH]/.vep --fasta [PATH]/Homo_sapiens.GRCh38.dna.toplevel.fa.gz --fields Uploaded_variation,Location,Allele,Gene,Feature,SYMBOL,Consequence,IMPACT,BIOTYPE,EXON,INTRON,HGVSc,HGVSp,cDNA_position,CDS_position,Protein_position,Amino_acids,Codons,Existing_variation,AF,gnomAD_AF,ClinSig,Phenotype --force_overwrite --input_file [PATH]/brca_input.vcf --no_stats --offline --output_file [PATH]/brca_vep_output.tsv --tab
#Uploaded_variation	Location	Allele	Gene	Feature	SYMBOL	Consequence	IMPACT	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	AF	gnomAD_AF	ClinSig	Phenotype
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000352993	-	missense_variant	MODERATE	-	-	-	-	-	188	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000354071	-	non_coding_transcript_exon_variant	MODIFIER	-	-	-	-	-	133	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000356906	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000357654	-	missense_variant	MODERATE	-	-	-	-	-	182	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000460115	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000461221	-	missense_variant,NMD_transcript_variant	MODERATE	-	-	-	-	-	195	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000461574	-	missense_variant	MODERATE	-	-	-	-	-	188	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000461798	-	missense_variant,NMD_transcript_variant	MODERATE	-	-	-	-	-	182	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000198496	ENST00000467245	-	upstream_gene_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000468300	-	missense_variant	MODERATE	-	-	-	-	-	263	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000470026	-	missense_variant	MODERATE	-	-	-	-	-	250	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000471181	-	missense_variant	MODERATE	-	-	-	-	-	301	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000473961	-	missense_variant	MODERATE	-	-	-	-	-	182	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000476777	-	missense_variant	MODERATE	-	-	-	-	-	178	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000477152	-	missense_variant	MODERATE	-	-	-	-	-	182	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000478531	-	missense_variant	MODERATE	-	-	-	-	-	171	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000484087	-	missense_variant	MODERATE	-	-	-	-	-	161	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000489037	-	missense_variant	MODERATE	-	-	-	-	-	228	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000491747	-	missense_variant	MODERATE	-	-	-	-	-	168	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000492859	-	missense_variant,NMD_transcript_variant	MODERATE	-	-	-	-	-	118	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000493795	-	5_prime_UTR_variant	MODIFIER	-	-	-	-	-	214	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000493919	-	5_prime_UTR_variant	MODIFIER	-	-	-	-	-	214	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000494123	-	missense_variant	MODERATE	-	-	-	-	-	262	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000497488	-	intron_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000586385	-	intron_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000591534	-	intron_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000591849	-	intron_variant	MODIFIER	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000618469	-	missense_variant	MODERATE	-	-	-	-	-	716	69	23	E/D	gaG/gaC	-	-	-	-	-
17_43124028_T/G	17:43124028	G	ENSG00000012048	ENST00000634433	-	missense_variant	MODERATE	-	-	-	-	-	208	69	23	E/D	gaG/gaC	-	-	-	-	-
